Regiao,Cenario,Nos,EnergiaTotalExt_J,EnergiaMedia_J,PDR_Percent,JainIndex,TempoExec_s,LatenciaMedia_s,PerdasColisaoExt,PerdasSinalFracoExt,PerdasSaturacaoExt,DR0_SF12,DR1_SF11,DR2_SF10,DR3_SF9,DR4_SF8,DR5_SF7,Semente
EU,1,100,2438.8,24.388,94.1041,0.977825,3.0307,1.72337,846,0,0,57,10,11,10,1,11,6
EU,1,100,2420.92,24.2092,93.5897,0.973962,3.13472,1.71156,920,0,0,54,16,9,8,5,8,1
EU,1,100,2357.65,23.5765,94.1398,0.981145,3.52907,1.66301,841,0,0,55,8,15,5,11,6,4
EU,1,100,2670.79,26.7079,90.0335,0.969238,3.99651,1.88119,1430,0,0,63,12,13,5,3,4,5
EU,1,100,2621.8,26.218,90.4533,0.965709,4.16083,1.84522,1371,0,0,62,11,13,7,1,6,2
EU,1,100,2315.68,23.1568,93.6764,0.980713,4.21404,1.64069,907,0,0,49,19,11,8,3,10,8
EU,1,100,2608.96,26.0896,91.6998,0.970354,4.44387,1.84639,1191,0,0,61,12,13,7,4,3,9
EU,1,100,2294.91,22.9491,93.6907,0.967376,4.63014,1.6161,905,0,0,51,11,18,8,6,6,3
EU,1,100,2406.69,24.0669,93.8572,0.970933,4.66292,1.71117,881,0,0,52,17,14,10,1,6,7
EU,1,100,2663.45,26.6345,93.3236,0.979009,3.45355,1.90485,958,0,0,63,13,9,7,1,7,11
EU,1,100,2353.33,23.5333,91.4877,0.968162,3.46605,1.66303,1221,0,0,53,12,14,10,4,7,12
EU,1,100,2339.33,23.3933,93.6646,0.97927,3.25342,1.64696,909,0,0,51,14,16,9,3,7,13
EU,1,100,2461.54,24.6154,92.565,0.974912,4.50381,1.74497,1067,0,0,54,17,11,10,4,4,10
EU,1,100,2334.12,23.3412,98.1456,0.994422,4.24945,1.68848,266,0,0,53,12,12,6,7,10,14
EU,1,100,2466.29,24.6629,93.6172,0.974103,4.34479,1.75829,916,0,0,60,7,9,11,7,6,16
EU,1,100,2569.44,25.6944,93.9407,0.979934,4.15671,1.83323,870,0,0,60,12,12,7,5,4,17
EU,1,100,2517.78,25.1778,92.2246,0.975052,4.60063,1.77999,1116,0,0,59,13,7,9,5,7,15
EU,1,100,2441,24.41,89.2148,0.952308,4.48315,1.68667,1548,0,0,57,10,13,9,4,7,18
EU,1,100,2441.13,24.4113,93.7936,0.980374,3.28882,1.74931,890,0,0,57,13,7,6,7,10,20
EU,1,100,2318.52,23.1852,91.115,0.971223,4.24534,1.61641,1275,0,0,50,14,17,7,3,9,19
EU,1,100,2397.27,23.9727,93.1799,0.970869,4.34633,1.69716,978,0,0,51,20,10,7,6,6,21
EU,1,100,2542.01,25.4201,95.7276,0.986814,3.53837,1.83494,613,0,0,56,20,9,4,1,10,23
EU,1,100,2373.23,23.7323,93.4564,0.980105,4.61531,1.67658,939,0,0,52,15,14,7,6,6,22
