Cenario,Nos,EnergiaTotal_J,EnergiaMedia_J,PDR_Percent,JainIndex,TempoExec_s,LatenciaMedia_s,PerdasColisao,PerdasSinalFraco,DR0_SF12,DR1_SF11,DR2_SF10,DR3_SF9,DR4_SF8,DR5_SF7,Semente
1,100,2663.17,26.6317,1.00362,0.01,2.70277,0.114897,0,0,63,12,13,5,3,4,5
1,100,2294.91,22.9491,0,0,2.76786,0,0,0,51,11,18,8,6,6,3
1,100,2416.72,24.1672,1.00334,0.01,2.90502,0.114897,0,0,54,16,9,8,5,8,1
1,100,2348.97,23.4897,0,0,3.80728,0,0,0,55,8,15,5,11,6,4
1,100,2604.18,26.0418,0,0,3.79769,0,0,0,61,12,13,7,4,3,9
1,100,2424.79,24.2479,0.996585,0.01,3.84685,0.114897,0,0,57,10,11,10,1,11,6
1,100,2617.92,26.1792,0,0,4.00038,0,0,0,62,11,13,7,1,6,2
1,100,2315.68,23.1568,0,0,4.14765,0,0,0,49,19,11,8,3,10,8
1,100,2406.69,24.0669,0.997072,0.01,4.18321,0.114896,0,0,52,17,14,10,1,6,7
1,100,2456.11,24.5611,1.00341,0.01,3.25293,0.114897,0,0,54,17,11,10,4,4,10
1,100,2655.07,26.5507,0.996585,0.01,3.92756,0.114897,0,0,63,13,9,7,1,7,11
1,100,2353.33,23.5333,2.00781,0.02,3.81487,0.114897,0,0,53,12,14,10,4,7,12
1,100,2517.78,25.1778,0,0,3.30777,0,0,0,59,13,7,9,5,7,15
1,100,2466.29,24.6629,0,0,3.2975,0,0,0,60,7,9,11,7,6,16
1,100,2334.54,23.3454,1.00362,0.01,3.94642,0.114897,0,0,51,14,16,9,3,7,13
1,100,2329.43,23.2943,0,0,4.21937,0,0,0,53,12,12,6,7,10,14
1,100,2565.72,25.6572,0,0,3.90916,0,0,0,60,12,12,7,5,4,17
1,100,2441,24.41,0.996307,0.01,4.15814,0.114896,0,0,57,10,13,9,4,7,18
1,100,2302.59,23.0259,0,0,3.35046,0,0,0,50,14,17,7,3,9,19
1,100,2441.13,24.4113,0,0,4.1024,0,0,0,57,13,7,6,7,10,20
