Regiao,Cenario,Nos,EnergiaTotalExt_J,EnergiaMedia_J,PDR_Percent,JainIndex,TempoExec_s,LatenciaMedia_s,PerdasColisaoExt,PerdasSinalFracoExt,PerdasSaturacaoExt,DR0_SF12,DR1_SF11,DR2_SF10,DR3_SF9,DR4_SF8,DR5_SF7,Semente
BR_64CH,1,100,29387.7,293.877,99.6934,0.99993,4.00277,1.76789,44,0,0,54,16,9,8,5,8,1
BR_64CH,1,100,31720.1,317.201,99.5122,0.999852,3.98092,1.90804,70,0,0,61,12,13,7,4,3,9
BR_64CH,1,100,32455.1,324.551,99.4842,0.999911,4.05228,1.95248,74,0,0,63,12,13,5,3,4,5
BR_64CH,1,100,31890.5,318.905,99.5683,0.999922,4.36909,1.91722,62,0,0,62,11,13,7,1,6,2
BR_64CH,1,100,29488.3,294.883,99.7212,0.999951,4.38039,1.77453,40,0,0,57,10,11,10,1,11,6
BR_64CH,1,100,29263,292.63,99.6793,0.999881,4.48773,1.76171,46,0,0,52,17,14,10,1,6,7
BR_64CH,1,100,28544,285.44,99.784,0.999957,4.90275,1.7178,31,0,0,55,8,15,5,11,6,4
BR_64CH,1,100,27871.6,278.716,99.6235,0.999884,4.90651,1.67657,54,0,0,51,11,18,8,6,6,3
BR_64CH,1,100,28130.7,281.307,99.6932,0.999928,5.00116,1.69293,44,0,0,49,19,11,8,3,10,8
BR_64CH,1,100,32353.8,323.538,99.6864,0.99994,4.16635,1.9477,45,0,0,63,13,9,7,1,7,11
BR_64CH,1,100,28365.2,283.652,99.6445,0.999916,3.88949,1.70605,51,0,0,51,14,16,9,3,7,13
BR_64CH,1,100,29878.2,298.782,99.6237,0.999912,4.64968,1.79789,54,0,0,54,17,11,10,4,4,10
BR_64CH,1,100,28598.5,285.985,99.6654,0.999912,4.87558,1.72103,48,0,0,53,12,14,10,4,7,12
BR_64CH,1,100,30644.6,306.446,99.6307,0.999919,4.62371,1.8433,53,0,0,59,13,7,9,5,7,15
BR_64CH,1,100,28301.8,283.018,99.9163,0.999987,5.01394,1.7052,12,0,0,53,12,12,6,7,10,14
BR_64CH,1,100,31241.5,312.415,99.6518,0.999913,4.8738,1.87898,50,0,0,60,12,12,7,5,4,17
BR_64CH,1,100,30003.6,300.036,99.6795,0.99991,4.98631,1.8054,46,0,0,60,7,9,11,7,6,16
BR_64CH,1,100,29688.9,296.889,99.4426,0.999872,5.15842,1.78386,80,0,0,57,10,13,9,4,7,18
BR_64CH,1,100,27967.8,279.678,99.5261,0.999902,4.34818,1.68192,68,0,0,50,14,17,7,3,9,19
BR_64CH,1,100,32896.4,328.964,99.5682,0.99991,4.06249,1.97829,62,0,0,66,12,4,5,6,7,24
BR_64CH,1,100,29691.6,296.916,99.6374,0.999926,5.31571,1.78781,52,0,0,57,13,7,6,7,10,20
