Regiao,Cenario,Nos,EnergiaTotalExt_J,EnergiaMedia_J,PDR_Percent,JainIndex,TempoExec_s,LatenciaMedia_s,Enviados,Recebidos,PerdasColisaoExt,PerdasSinalFracoExt,PerdasSaturacaoExt,DR0_SF12,DR1_SF11,DR2_SF10,DR3_SF9,DR4_SF8,DR5_SF7,Semente
BR_64CH,1,100,28130.714413,281.307144,99.693230,0.999928,2.953187,1.692934,14343,14299,44,0,0,49,19,11,8,3,10,8
BR_64CH,1,100,29263.039058,292.630391,99.679264,0.999881,3.011719,1.761711,14342,14296,46,0,0,52,17,14,10,1,6,7
BR_64CH,1,100,29387.673594,293.876736,99.693423,0.999930,3.032674,1.767887,14352,14308,44,0,0,54,16,9,8,5,8,1
BR_64CH,1,100,29488.307985,294.883080,99.721235,0.999951,4.157282,1.774530,14349,14309,40,0,0,57,10,11,10,1,11,6
BR_64CH,1,100,31720.095866,317.200959,99.512161,0.999852,4.159247,1.908042,14349,14279,70,0,0,61,12,13,7,4,3,9
BR_64CH,1,100,31890.521736,318.905217,99.568275,0.999922,4.208809,1.917215,14361,14299,62,0,0,62,11,13,7,1,6,2
BR_64CH,1,100,32455.064273,324.550643,99.484249,0.999911,4.465021,1.952477,14348,14274,74,0,0,63,12,13,5,3,4,5
BR_64CH,1,100,27871.553065,278.715531,99.623536,0.999884,4.522236,1.676575,14344,14290,54,0,0,51,11,18,8,6,6,3
BR_64CH,1,100,28544.004541,285.440045,99.783987,0.999957,4.575967,1.717796,14351,14320,31,0,0,55,8,15,5,11,6,4
BR_64CH,1,100,32353.831064,323.538311,99.686389,0.999940,3.371473,1.947702,14349,14304,45,0,0,63,13,9,7,1,7,11
BR_64CH,1,100,29878.176021,298.781760,99.623720,0.999912,4.148772,1.797893,14351,14297,54,0,0,54,17,11,10,4,4,10
BR_64CH,1,100,28598.489711,285.984897,99.665365,0.999912,4.402366,1.721029,14344,14296,48,0,0,53,12,14,10,4,7,12
BR_64CH,1,100,28301.811664,283.018117,99.916341,0.999987,3.453082,1.705200,14344,14332,12,0,0,53,12,12,6,7,10,14
BR_64CH,1,100,31241.516520,312.415165,99.651762,0.999913,3.580670,1.878984,14358,14308,50,0,0,60,12,12,7,5,4,17
BR_64CH,1,100,28365.190764,283.651908,99.644550,0.999916,3.932284,1.706051,14348,14297,51,0,0,51,14,16,9,3,7,13
BR_64CH,1,100,30644.589112,306.445891,99.630739,0.999919,4.324337,1.843300,14353,14300,53,0,0,59,13,7,9,5,7,15
BR_64CH,1,100,30003.555380,300.035554,99.679465,0.999910,4.203175,1.805399,14351,14305,46,0,0,60,7,9,11,7,6,16
BR_64CH,1,100,29688.925929,296.889259,99.442625,0.999872,4.087393,1.783860,14353,14273,80,0,0,57,10,13,9,4,7,18
BR_64CH,1,100,27967.759551,279.677596,99.526132,0.999902,3.779503,1.681916,14350,14282,68,0,0,50,14,17,7,3,9,19
BR_64CH,1,100,30893.363137,308.933631,99.832729,0.999972,3.121295,1.860626,14348,14324,24,0,0,56,20,9,4,1,10,23
BR_64CH,1,100,32896.439258,328.964393,99.568215,0.999910,3.601418,1.978292,14359,14297,62,0,0,66,12,4,5,6,7,24
BR_64CH,1,100,28787.538000,287.875380,99.742160,0.999947,4.055543,1.732582,14350,14313,37,0,0,52,15,14,7,6,6,22
BR_64CH,1,100,29691.588794,296.915888,99.637378,0.999926,4.691941,1.787812,14340,14288,52,0,0,57,13,7,6,7,10,20
BR_64CH,1,100,29088.955645,290.889556,99.790795,0.999965,4.735397,1.752633,14340,14310,30,0,0,51,20,10,7,6,6,21
BR_64CH,1,100,30113.572754,301.135728,99.846647,0.999966,3.745291,1.813824,14346,14324,22,0,0,57,13,11,7,6,6,25
BR_64CH,1,100,29278.171559,292.781716,99.658441,0.999949,4.463740,1.761689,14346,14297,49,0,0,56,10,14,6,6,8,26
BR_64CH,1,100,28370.308702,283.703087,99.512603,0.999880,4.398716,1.704643,14362,14292,70,0,0,54,9,14,9,6,8,27
BR_64CH,1,100,30405.226844,304.052268,99.533036,0.999905,3.367020,1.828972,14348,14281,67,0,0,58,13,10,7,4,8,28
BR_64CH,1,100,30597.310008,305.973100,99.700244,0.999951,4.473743,1.842505,14345,14302,43,0,0,57,17,8,5,3,10,29
BR_64CH,1,100,29960.121838,299.601218,99.505089,0.999892,3.701517,1.801710,14346,14275,71,0,0,58,9,14,8,6,5,31
BR_64CH,1,100,27968.237504,279.682375,99.881541,0.999983,3.498306,1.684110,14351,14334,17,0,0,47,20,16,5,8,4,33
BR_64CH,1,100,28297.448421,282.974484,99.707235,0.999954,4.147935,1.703238,14346,14304,42,0,0,52,13,14,6,7,8,30
BR_64CH,1,100,31984.530403,319.845304,99.421562,0.999866,4.245297,1.924122,14349,14266,83,0,0,61,15,9,6,4,5,32
BR_64CH,1,500,147941.185815,295.882372,97.923692,0.997278,43.967438,1.766289,71762,70272,1490,0,0,272,76,60,31,26,35,3
BR_64CH,1,500,152784.870275,305.569741,98.242362,0.999378,44.465776,1.828467,71744,70483,1261,0,0,287,73,51,37,20,32,2
