Regiao,Cenario,Nos,EnergiaTotalExt_J,EnergiaMedia_J,PDR_Percent,JainIndex,TempoExec_s,LatenciaMedia_s,PerdasColisaoExt,PerdasSinalFracoExt,DR0_SF12,DR1_SF11,DR2_SF10,DR3_SF9,DR4_SF8,DR5_SF7,Semente
BR,1,100,3169.42,31.6942,0,0,0.0674578,0,0,0,75,25,0,0,0,0,8
BR,1,100,1362.13,13.6213,0,0,0.0675406,0,0,0,25,0,25,25,25,0,5
BR,1,100,1247.26,12.4726,0,0,0.102732,0,0,0,25,0,0,50,25,0,4
BR,1,100,2160.32,21.6032,0,0,0.0955994,0,0,0,50,0,25,25,0,0,6
BR,1,100,2916.74,29.1674,0,0,0.104723,0,0,0,75,0,25,0,0,0,3
BR,1,100,3570.17,35.7017,0,0,0.1112,0,0,0,100,0,0,0,0,0,2
BR,1,100,1894.88,18.9488,0,0,0.111165,0,0,0,25,25,50,0,0,0,1
BR,1,100,2916.74,29.1674,0,0,0.106153,0,0,0,75,0,25,0,0,0,7
BR,1,100,1471.24,14.7124,0,0,0.113416,0,0,0,25,0,50,0,25,0,9
BR,1,100,2082.89,20.8289,24.9129,0.25,0.0736161,0.114898,0,0,50,0,25,0,0,25,14
BR,1,100,2912.25,29.1225,0,0,0.0909192,0,0,0,75,0,25,0,0,0,11
BR,1,100,2924.52,29.2452,0,0,0.0920965,0,0,0,75,0,25,0,0,0,12
BR,1,100,2425.28,24.2528,0,0,0.0996332,0,0,0,50,25,0,25,0,0,13
BR,1,100,2168.11,21.6811,0,0,0.0995102,0,0,0,50,0,25,25,0,0,10
BR,1,100,3169.42,31.6942,0,0,0.0990886,0,0,0,75,25,0,0,0,0,15
BR,1,100,2087.67,20.8767,25.0435,0.25,0.0698181,0.1149,0,0,50,0,25,0,0,25,17
BR,1,100,2814.65,28.1465,0,0,0.0940414,0,0,0,75,0,0,25,0,0,18
BR,1,100,1887.2,18.872,50,0.5,0.103902,0.114898,0,0,50,0,0,0,0,50,16
BR,1,100,2114.06,21.1406,0,0,0.0875716,0,0,0,50,0,25,0,25,0,21
BR,1,100,2722.4,27.224,24.9564,0.25,0.0946537,0.114899,0,0,75,0,0,0,0,25,23
BR,1,100,2819.89,28.1989,0,0,0.0930763,0,0,0,75,0,0,25,0,0,19
BR,1,100,2340.06,23.4006,24.9564,0.25,0.107609,0.114898,0,0,50,25,0,0,0,25,20
BR,1,100,3185.15,31.8515,0,0,0.090556,0,0,0,75,25,0,0,0,0,24
BR,1,100,3185.15,31.8515,0,0,0.102432,0,0,0,75,25,0,0,0,0,22
BR,1,100,2425.28,24.2528,0,0,0.0680257,0,0,0,50,25,0,25,0,0,25
BR,1,100,2540.53,25.4053,0,0,0.068522,0,0,0,50,25,25,0,0,0,26
BR,1,100,1112.73,11.1273,24.9564,0.25,0.0898799,0.114898,0,0,25,0,0,0,50,25,27
BR,1,100,2746.93,27.4693,0,0,0.0657587,0,0,0,75,0,0,0,25,0,30
BR,1,100,2819.89,28.1989,0,0,0.0804364,0,0,0,75,0,0,25,0,0,28
BR,1,100,1965.99,19.6599,25,0.25,0.0828066,0.114899,0,0,50,0,0,25,0,25,29
BR,1,100,2808.51,28.0851,0,0,0.0931571,0,0,0,75,0,0,25,0,0,31
BR,1,100,3564.04,35.6404,0,0,0.0858591,0,0,0,100,0,0,0,0,0,32
BR,1,100,3185.15,31.8515,0,0,0.091661,0,0,0,75,25,0,0,0,0,33
BR,1,500,10294.1,20.5882,4.36364,0.0434783,0.542197,0.114899,0,0,239.13,21.7391,65.2174,65.2174,86.9565,21.7391,3
BR,1,500,11821.3,23.6425,4.36231,0.0434783,0.61045,0.114897,0,0,260.87,65.2174,86.9565,43.4783,0,43.4783,1
BR,1,500,14318.1,28.6361,0,0,0.677965,0,0,0,369.565,21.7391,43.4783,43.4783,0,21.7391,2
BR,1,500,10207.6,20.4152,4.33202,0.0434783,0.530871,0.114898,0,0,217.391,43.4783,108.696,43.4783,65.2174,21.7391,4
BR,1,500,11531.1,23.0623,4.33596,0.0434783,0.548919,0.114898,0,0,260.87,43.4783,108.696,21.7391,21.7391,43.4783,5
BR,1,500,11010.8,22.0217,8.67455,0.0869565,0.666678,0.114897,0,0,217.391,86.9565,130.435,21.7391,0,43.4783,7
BR,1,500,12954.3,25.9085,0,0,0.67913,0,0,0,304.348,43.4783,86.9565,65.2174,0,0,6
BR,1,500,11312.6,22.6252,4.36099,0.0434783,0.534695,0.114898,0,0,260.87,43.4783,65.2174,43.4783,43.4783,43.4783,9
BR,1,500,12310.9,24.6218,4.33202,0.0434783,0.611023,0.114898,0,0,260.87,86.9565,108.696,21.7391,0,21.7391,8
BR,1,500,12291.7,24.5833,8.72463,0.0869565,0.58662,0.114898,0,0,304.348,21.7391,43.4783,86.9565,0,43.4783,10
BR,1,500,12392.3,24.7845,0,0,0.602251,0,0,0,282.609,65.2174,65.2174,43.4783,21.7391,21.7391,11
BR,1,500,11355.4,22.7107,4.33465,0.0434783,0.528993,0.114899,0,0,260.87,43.4783,65.2174,65.2174,21.7391,43.4783,12
BR,1,500,11290.4,22.5809,8.70224,0.0869565,0.533834,0.114899,0,0,260.87,43.4783,65.2174,43.4783,43.4783,43.4783,14
BR,1,500,13435,26.87,8.67455,0.0869565,0.617675,0.114898,0,0,326.087,65.2174,21.7391,21.7391,21.7391,43.4783,13
