Regiao,Cenario,Nos,EnergiaTotalExt_J,EnergiaMedia_J,PDR_Percent,JainIndex,TempoExec_s,LatenciaMedia_s,PerdasColisaoExt,PerdasSinalFracoExt,PerdasSaturacaoExt,DR0_SF12,DR1_SF11,DR2_SF10,DR3_SF9,DR4_SF8,DR5_SF7,Semente
BR,1,100,1308.09,13.0809,100,1,1.96196,1.77583,0,0,0,57,10,11,10,1,11,6
BR,1,100,1427.95,14.2795,100,1,1.9739,1.90993,0,0,0,62,11,13,7,1,6,2
BR,1,100,1248.61,12.4861,100,1,2.02257,1.67611,0,0,0,51,11,18,8,6,6,3
BR,1,100,1300.02,13.0002,99.8382,0.999724,2.71652,1.76025,21,0,0,52,17,14,10,1,6,7
BR,1,100,1255.93,12.5593,100,1,2.69509,1.69444,0,0,0,49,19,11,8,3,10,8
BR,1,100,1334.54,13.3454,100,1,2.76573,1.77554,0,0,0,54,16,9,8,5,8,1
BR,1,100,1303.26,13.0326,98.4026,0.989813,2.89231,1.72922,213,0,0,55,8,15,5,11,6,4
BR,1,100,1418.96,14.1896,100,1,2.89476,1.90969,0,0,0,61,12,13,7,4,3,9
BR,1,100,1459.83,14.5983,100,1,2.95091,1.96926,0,0,0,63,12,13,5,3,4,5
BR,1,100,1451.12,14.5112,99.5177,0.997506,2.20117,1.95733,64,0,0,63,13,9,7,1,7,11
BR,1,100,1325.31,13.2531,100,1,2.24203,1.80291,0,0,0,54,17,11,10,4,4,10
BR,1,100,1279.79,12.7979,98.7118,0.992312,2.73358,1.71312,170,0,0,53,12,14,10,4,7,12
BR,1,100,1269.4,12.694,100,1,2.08631,1.71878,0,0,0,53,12,12,6,7,10,14
BR,1,100,1267.84,12.6784,100,1,2.74348,1.70556,0,0,0,51,14,16,9,3,7,13
BR,1,100,1392.89,13.9289,98.4227,0.994776,2.93456,1.83138,213,0,0,59,13,7,9,5,7,15
BR,1,100,1397.48,13.9748,100,1,2.67224,1.8799,0,0,0,60,12,12,7,5,4,17
BR,1,100,1329.38,13.2938,100,1,2.76915,1.80278,0,0,0,60,7,9,11,7,6,16
BR,1,100,1359.16,13.5916,98.7421,0.992312,2.80758,1.78161,170,0,0,57,10,13,9,4,7,18
BR,1,100,1320.15,13.2015,100,1,2.09926,1.79566,0,0,0,57,13,7,6,7,10,20
BR,1,100,1298.64,12.9864,99.6769,0.999525,2.25501,1.75406,42,0,0,51,20,10,7,6,6,21
BR,1,100,1246.02,12.4602,98.7097,0.993494,3.07899,1.66817,170,0,0,50,14,17,7,3,9,19
BR,1,100,1292.11,12.9211,99.3579,0.998384,2.72848,1.73076,85,0,0,52,15,14,7,6,6,22
BR,1,100,1394.85,13.9485,99.361,0.998091,2.48979,1.86537,85,0,0,56,20,9,4,1,10,23
BR,1,100,1325.55,13.2555,100,1,2.501,1.77728,0,0,0,56,10,14,6,6,8,26
BR,1,100,1488.13,14.8813,99.2138,0.997635,2.51015,1.96593,106,0,0,66,12,4,5,6,7,24
BR,1,100,1296.05,12.9605,100,1,2.72855,1.71721,0,0,0,54,9,14,9,6,8,27
BR,1,100,1357.11,13.5711,98.3974,0.993161,2.74868,1.81075,213,0,0,57,13,11,7,6,6,25
BR,1,100,1375.81,13.7581,100,1,2.22065,1.84689,0,0,0,57,17,8,5,3,10,29
BR,1,100,1358.36,13.5836,100,1,3.06367,1.82858,0,0,0,58,13,10,7,4,8,28
BR,1,100,1245.84,12.4584,99.8358,0.999724,2.27652,1.70917,21,0,0,52,13,14,6,7,8,30
BR,1,100,1356.54,13.5654,99.3579,0.997798,2.81164,1.82083,85,0,0,58,9,14,8,6,5,31
BR,1,100,1260.52,12.6052,100,1,2.41657,1.6792,0,0,0,47,20,16,5,8,4,33
BR,1,100,1419.51,14.1951,99.3517,0.997798,2.98338,1.92756,85,0,0,61,15,9,6,4,5,32
BR,1,500,6520,13.04,98.5609,0.993424,13.0111,1.73565,960,0,0,266,69,61,45,26,33,8
BR,1,500,6507.29,13.0146,99.202,0.997128,13.058,1.73237,533,0,0,262,74,64,41,19,40,7
BR,1,500,6999.99,14,98.5628,0.993862,14.3071,1.86569,960,0,0,299,69,42,33,25,32,5
BR,1,500,6892.05,13.7841,98.1476,0.992233,16.7559,1.83206,1237,0,0,287,73,51,37,20,32,2
BR,1,500,6590.48,13.181,98.4902,0.992462,17.104,1.76205,1002,0,0,273,74,52,35,30,36,1
BR,1,500,6587.94,13.1759,99.3235,0.997083,17.6124,1.77234,448,0,0,278,68,49,38,25,42,4
BR,1,500,6662.28,13.3246,98.535,0.994718,19.1033,1.76561,981,0,0,272,76,60,31,26,35,3
BR,1,500,7028.23,14.0565,98.6486,0.994673,17.376,1.88996,896,0,0,298,75,48,42,14,23,9
BR,1,500,6829.21,13.6584,98.6842,0.994217,18.9044,1.83054,874,0,0,290,71,40,36,23,40,6
BR,1,500,6677.15,13.3543,99.1346,0.997483,13.8632,1.7865,576,0,0,272,83,57,31,17,40,14
BR,1,500,6480.26,12.9605,98.3381,0.993021,13.1097,1.71903,1109,0,0,265,68,64,41,24,38,15
BR,1,500,6822.54,13.6451,97.8247,0.989437,14.0946,1.81276,1450,0,0,284,69,58,33,24,32,16
BR,1,500,6800.77,13.6015,98.945,0.995332,17.9276,1.81556,704,0,0,283,72,57,34,20,34,11
BR,1,500,6756.78,13.5136,97.4614,0.988308,19.1617,1.80091,1685,0,0,275,86,56,36,14,33,10
BR,1,500,6898.08,13.7962,98.3492,0.99213,19.4086,1.82406,1109,0,0,290,59,67,39,21,24,12
BR,1,500,6491.8,12.9836,98.8539,0.996112,19.3387,1.72029,768,0,0,262,73,54,45,28,38,13
BR,1,500,7022.26,14.0445,98.5261,0.993075,17.4559,1.87999,981,0,0,300,64,54,31,22,29,17
BR,1,500,6768.5,13.537,98.2017,0.991757,18.8045,1.80782,1194,0,0,284,69,59,35,22,31,18
BR,1,500,6761.27,13.5225,99.2621,0.997295,13.3284,1.81288,490,0,0,279,80,54,29,28,30,21
BR,1,500,6799.58,13.5992,98.2332,0.992146,14.0099,1.8212,1173,0,0,286,69,52,44,21,28,23
BR,1,500,6623.43,13.2469,98.2069,0.992019,14.7172,1.76538,1194,0,0,273,72,59,31,23,42,24
BR,1,500,6611.64,13.2233,98.8232,0.995788,19.5657,1.75166,789,0,0,273,65,67,34,23,38,19
BR,1,500,6717.34,13.4347,99.3588,0.99771,19.5494,1.80013,426,0,0,284,65,54,31,32,34,20
BR,1,500,6849.12,13.6982,98.2462,0.992338,19.2621,1.81759,1173,0,0,278,83,63,35,19,22,22
BR,1,500,6688.67,13.3773,98.3601,0.992277,18.6532,1.79482,1088,0,0,276,77,52,42,21,32,25
BR,1,500,6698.88,13.3978,97.6715,0.987954,18.3492,1.77348,1557,0,0,280,63,68,36,23,30,26
BR,1,500,6737.46,13.4749,98.7512,0.995515,19.5937,1.79915,832,0,0,277,76,61,34,25,27,27
BR,1,500,6731.65,13.4633,98.2969,0.992594,15.2067,1.80169,1130,0,0,286,63,59,30,28,34,29
BR,1,500,6483.5,12.967,98.6859,0.993672,14.2843,1.72824,874,0,0,265,67,67,35,27,39,31
