Regiao,Cenario,Nos,EnergiaTotalExt_J,EnergiaMedia_J,PDR_Percent,JainIndex,TempoExec_s,LatenciaMedia_s,Enviados,Recebidos,PerdasColisaoExt,PerdasSinalFracoExt,PerdasSaturacaoExt,DR0_SF12,DR1_SF11,DR2_SF10,DR3_SF9,DR4_SF8,DR5_SF7,Semente
BR,1,100,1334.54,13.3454,100,1,2.98648,1.77554,13440,13440,0,0,0,54,16,9,8,5,8,1
BR,1,100,1427.95,14.2795,100,1,2.09654,1.90993,13397,13397,0,0,0,62,11,13,7,1,6,2
BR,1,100,1248.61,12.4861,100,1,2.85563,1.67611,13290,13290,0,0,0,51,11,18,8,6,6,3
BR,1,100,1303.26,13.0326,98.4026,0.989813,2.03747,1.72922,13354,13141,213,0,0,55,8,15,5,11,6,4
BR,1,100,1459.83,14.5983,100,1,2.84426,1.96926,13290,13290,0,0,0,63,12,13,5,3,4,5
BR,1,100,1308.09,13.0809,100,1,2.76095,1.77583,13162,13162,0,0,0,57,10,11,10,1,11,6
BR,1,100,1300.02,13.0002,99.8382,0.999724,2.14733,1.76025,13184,13162,21,0,0,52,17,14,10,1,6,7
BR,1,100,1255.93,12.5593,100,1,2.77143,1.69444,13226,13226,0,0,0,49,19,11,8,3,10,8
BR,1,100,1418.96,14.1896,100,1,2.88724,1.90969,13312,13312,0,0,0,61,12,13,7,4,3,9
BR,1,100,1325.31,13.2531,100,1,2.30703,1.80291,13141,13141,0,0,0,54,17,11,10,4,4,10
BR,1,100,1451.12,14.5112,99.5177,0.997506,2.70697,1.95733,13269,13205,64,0,0,63,13,9,7,1,7,11
BR,1,100,1279.79,12.7979,98.7118,0.992312,2.26537,1.71312,13248,13077,170,0,0,53,12,14,10,4,7,12
BR,1,100,1267.84,12.6784,100,1,2.36453,1.70556,13269,13269,0,0,0,51,14,16,9,3,7,13
BR,1,100,1269.4,12.694,100,1,2.87116,1.71878,13184,13184,0,0,0,53,12,12,6,7,10,14
BR,1,100,1392.89,13.9289,98.4227,0.994776,2.91621,1.83138,13525,13312,213,0,0,59,13,7,9,5,7,15
BR,1,100,1329.38,13.2938,100,1,2.45718,1.80278,13184,13184,0,0,0,60,7,9,11,7,6,16
BR,1,100,1397.48,13.9748,100,1,2.74854,1.8799,13312,13312,0,0,0,60,12,12,7,5,4,17
BR,1,100,1359.16,13.5916,98.7421,0.992312,2.87472,1.78161,13568,13397,170,0,0,57,10,13,9,4,7,18
BR,1,100,1246.02,12.4602,98.7097,0.993494,2.78774,1.66817,13226,13056,170,0,0,50,14,17,7,3,9,19
BR,1,100,1320.15,13.2015,100,1,2.51107,1.79566,13141,13141,0,0,0,57,13,7,6,7,10,20
BR,1,100,1298.64,12.9864,99.6769,0.999525,2.21885,1.75406,13205,13162,42,0,0,51,20,10,7,6,6,21
BR,1,100,1292.11,12.9211,99.3579,0.998384,2.82766,1.73076,13290,13205,85,0,0,52,15,14,7,6,6,22
BR,1,100,1394.85,13.9485,99.361,0.998091,2.45516,1.86537,13354,13269,85,0,0,56,20,9,4,1,10,23
BR,1,100,1488.13,14.8813,99.2138,0.997635,2.94764,1.96593,13568,13461,106,0,0,66,12,4,5,6,7,24
BR,1,100,1357.11,13.5711,98.3974,0.993161,2.7777,1.81075,13312,13098,213,0,0,57,13,11,7,6,6,25
BR,1,100,1325.55,13.2555,100,1,2.7631,1.77728,13333,13333,0,0,0,56,10,14,6,6,8,26
BR,1,100,1296.05,12.9605,100,1,3.02919,1.71721,13482,13482,0,0,0,54,9,14,9,6,8,27
BR,1,100,1358.36,13.5836,100,1,2.45324,1.82858,13290,13290,0,0,0,58,13,10,7,4,8,28
BR,1,100,1375.81,13.7581,100,1,2.70039,1.84689,13333,13333,0,0,0,57,17,8,5,3,10,29
BR,1,100,1245.84,12.4584,99.8358,0.999724,2.82561,1.70917,12992,12970,21,0,0,52,13,14,6,7,8,30
BR,1,100,1356.54,13.5654,99.3579,0.997798,3.03265,1.82083,13290,13205,85,0,0,58,9,14,8,6,5,31
BR,1,100,1419.51,14.1951,99.3517,0.997798,3.04231,1.92756,13162,13077,85,0,0,61,15,9,6,4,5,32
BR,1,100,1260.52,12.6052,100,1,2.39987,1.6792,13397,13397,0,0,0,47,20,16,5,8,4,33
BR,1,500,6590.48,13.181,98.4902,0.992462,16.1957,1.76205,66410,65408,1002,0,0,273,74,52,35,30,36,1
BR,1,500,6892.05,13.7841,98.1476,0.992233,15.5073,1.83206,66794,65557,1237,0,0,287,73,51,37,20,32,2
BR,1,500,6662.28,13.3246,98.535,0.994718,14.6234,1.76561,66986,66005,981,0,0,272,76,60,31,26,35,3
BR,1,500,6587.94,13.1759,99.3235,0.997083,15.4333,1.77234,66218,65770,448,0,0,278,68,49,38,25,42,4
BR,1,500,6999.99,14,98.5628,0.993862,17.6753,1.86569,66794,65834,960,0,0,299,69,42,33,25,32,5
BR,1,500,6829.21,13.6584,98.6842,0.994217,19.0738,1.83054,66474,65600,874,0,0,290,71,40,36,23,40,6
BR,1,500,6507.29,13.0146,99.202,0.997128,18.9382,1.73237,66837,66304,533,0,0,262,74,64,41,19,40,7
BR,1,500,6520,13.04,98.5609,0.993424,18.3185,1.73565,66709,65749,960,0,0,266,69,61,45,26,33,8
BR,1,500,7028.23,14.0565,98.6486,0.994673,16.4228,1.88996,66304,65408,896,0,0,298,75,48,42,14,23,9
BR,1,500,6756.78,13.5136,97.4614,0.988308,19.5744,1.80091,66389,64704,1685,0,0,275,86,56,36,14,33,10
BR,1,500,6800.77,13.6015,98.945,0.995332,19.1287,1.81556,66730,66026,704,0,0,283,72,57,34,20,34,11
BR,1,500,6898.08,13.7962,98.3492,0.99213,18.1008,1.82406,67200,66090,1109,0,0,290,59,67,39,21,24,12
BR,1,500,6491.8,12.9836,98.8539,0.996112,19.6936,1.72029,67008,66240,768,0,0,262,73,54,45,28,38,13
