Regiao,Cenario_Str,Nos,PDR_Percent_mean,PDR_Percent_std,EnergiaMedia_J_mean,EnergiaMedia_J_std,LatenciaMedia_s_mean,LatenciaMedia_s_std,JainIndex_mean,JainIndex_std,Enviados_mean,Enviados_std,Recebidos_mean,Recebidos_std,PerdasColisaoExt_mean,PerdasColisaoExt_std,PerdasSinalFracoExt_mean,PerdasSinalFracoExt_std,PerdasSaturacaoExt_mean,PerdasSaturacaoExt_std,Eficiencia_Pct_por_Joule_mean,Eficiencia_Pct_por_Joule_std,PDR_Percent_MargemErro95,PDR_Percent_TextoTCC,EnergiaMedia_J_MargemErro95,EnergiaMedia_J_TextoTCC,LatenciaMedia_s_MargemErro95,LatenciaMedia_s_TextoTCC,JainIndex_MargemErro95,JainIndex_TextoTCC,Enviados_MargemErro95,Enviados_TextoTCC,Recebidos_MargemErro95,Recebidos_TextoTCC,PerdasColisaoExt_MargemErro95,PerdasColisaoExt_TextoTCC,PerdasSinalFracoExt_MargemErro95,PerdasSinalFracoExt_TextoTCC,PerdasSaturacaoExt_MargemErro95,PerdasSaturacaoExt_TextoTCC,Eficiencia_Pct_por_Joule_MargemErro95,Eficiencia_Pct_por_Joule_TextoTCC
BR,ADR,100,98.33309696969697,1.1065091169656183,12.878178787878788,0.12735207781377125,2.5687348484848482,0.023797043687348574,0.9952863636363637,0.003809049822611465,8919.60606060606,107.054290956137,8770.242424242424,95.65858243743433,149.0,100.49689049915922,0.0,0.0,0.0,0.0,6.8109541086893355,0.11029970948992783,0.3775322862149685,98.33 ± 0.38,0.0434515363263415,12.88 ± 0.04,0.008119365824187192,2.57 ± 0.01,0.0012996181104957942,1.00 ± 0.00,36.52608965810144,8919.61 ± 36.53,32.63796273339677,8770.24 ± 32.64,34.28875573270295,149.00 ± 34.29,0.0,0.00 ± 0.00,0.0,0.00 ± 0.00,0.03763340116597811,6.81 ± 0.04
BR,ADR,500,93.19051515151514,0.8736794989873348,13.703439393939394,0.09715328397497029,2.5796054545454545,0.009504117229821068,0.9810396363636363,0.0037394018724438145,47317.606060606064,381.0017994867231,44093.121212121216,271.366191424954,3224.212121212121,433.11544055653894,0.0,0.0,0.0,0.0,6.4356935576133845,0.06518280809180181,0.2980926353109169,93.19 ± 0.30,0.033147943247811736,13.70 ± 0.03,0.0032427307206190073,2.58 ± 0.00,0.0012758547727574785,0.98 ± 0.00,129.99484433232104,47317.61 ± 129.99,92.58802939740713,44093.12 ± 92.59,147.7756124745913,3224.21 ± 147.78,0.0,0.00 ± 0.00,0.0,0.00 ± 0.00,0.022239866064812666,6.44 ± 0.02
BR,ADR,1000,87.47901515151514,0.6531763722003096,14.614124242424243,0.0718932673755992,2.582620909090909,0.007873221768928362,0.9627231212121212,0.0033025715998821975,100946.48484848485,541.4037380511495,88304.81818181818,526.1915914465844,12641.242424242424,702.3077597420805,0.0,0.0,0.0,0.0,6.0426060876377665,0.05110105639390341,0.2228586871246216,87.48 ± 0.22,0.024529422468931486,14.61 ± 0.02,0.0026862819010946676,2.58 ± 0.00,0.0011268116885573695,0.96 ± 0.00,184.72273554536966,100946.48 ± 184.72,179.53246969233447,88304.82 ± 179.53,239.6219336077816,12641.24 ± 239.62,0.0,0.00 ± 0.00,0.0,0.00 ± 0.00,0.017435282143264834,6.04 ± 0.02
BR,ADR,2000,78.64755151515152,0.6541818010505647,15.838015151515151,0.059030908859321336,2.5872830303030305,0.005338325161537399,0.9249435151515152,0.0042952483638988275,218749.75757575757,882.3468008067653,172037.45454545456,1092.6370649405083,46711.878787878784,1561.2260758290217,0.0,0.0,0.0,0.0,5.431272976770519,0.04590385942305312,0.22320173161168755,78.65 ± 0.22,0.020140885996603585,15.84 ± 0.02,0.0018213949364655148,2.59 ± 0.00,0.0014655052631927059,0.92 ± 0.00,301.04985113592346,218749.76 ± 301.05,372.79925018730825,172037.45 ± 372.80,532.6781683665682,46711.88 ± 532.68,0.0,0.00 ± 0.00,0.0,0.00 ± 0.00,0.01566203904546252,5.43 ± 0.02
BR,ADR,5000,60.41353636363636,0.3918148612691515,17.60960303030303,0.026753171363977132,2.5900233333333333,0.0036681489428139077,0.8167971515151515,0.0033747921521296263,607890.3636363636,1054.3086247092656,367246.54545454547,2238.3846867064244,240643.51515151514,2559.9715955603406,0.0,0.0,0.0,0.0,4.170992828967538,0.026925595502190473,0.13368417673194805,60.41 ± 0.13,0.009127973546427587,17.61 ± 0.01,0.0012515438285363757,2.59 ± 0.00,0.0011514527780736039,0.82 ± 0.00,359.7218851247984,607890.36 ± 359.72,763.7194084024076,367246.55 ± 763.72,873.4423551498911,240643.52 ± 873.44,0.0,0.00 ± 0.00,0.0,0.00 ± 0.00,0.009186803318455892,4.17 ± 0.01
BR,Estático,100,99.60294545454545,0.5582748310033475,13.383257575757575,0.6722785021060388,1.796698787878788,0.08809931050232374,0.9982440303030303,0.0028764517908880516,13294.848484848484,127.7651950875417,13241.818181818182,125.14128379192432,52.81818181818182,74.50312684103206,0.0,0.0,0.0,0.0,9.916455424562914,0.4634469669588518,0.19047902096184713,99.60 ± 0.19,0.22937618496021273,13.38 ± 0.23,0.03005879806857311,1.80 ± 0.03,0.0009814229310456278,1.00 ± 0.00,43.59248872018093,13294.85 ± 43.59,42.6972306377385,13241.82 ± 42.70,25.419886176439515,52.82 ± 25.42,0.0,0.00 ± 0.00,0.0,0.00 ± 0.00,0.15812449286923033,9.92 ± 0.16
BR,Estático,500,98.53765151515151,0.4541305643212733,13.44811212121212,0.31228335265986384,1.79408,0.044505531538225694,0.9937013636363635,0.0024843058741098063,66618.54545454546,245.50026615427268,65644.30303030302,383.43313341836927,973.8787878787879,302.3658543031684,0.0,0.0,0.0,0.0,9.768010265563513,0.24644648214213644,0.15494580890437562,98.54 ± 0.15,0.10654864588903064,13.45 ± 0.11,0.015184940470183955,1.79 ± 0.02,0.0008476258007543318,0.99 ± 0.00,83.76277730252602,66618.55 ± 83.76,130.82439651918742,65644.30 ± 130.82,103.16487274994972,973.88 ± 103.16,0.0,0.00 ± 0.00,0.0,0.00 ± 0.00,0.08408561882246847,9.77 ± 0.08
BR,Estático,1000,96.82328484848485,0.47154149812159574,13.460763636363636,0.20262014463365582,1.781471515151515,0.028542976053796056,0.9859259090909092,0.0030192914976409956,133232.75757575757,337.70558833684714,129000.39393939394,715.2943423599279,4232.060606060606,628.4565388410889,0.0,0.0,0.0,0.0,9.585447072697415,0.14748038636909416,0.16088628381053716,96.82 ± 0.16,0.0691324140613733,13.46 ± 0.07,0.009738640956271086,1.78 ± 0.01,0.0010301587256503733,0.99 ± 0.00,115.22251455280367,133232.76 ± 115.22,244.0528543753218,129000.39 ± 244.05,214.42447265691595,4232.06 ± 214.42,0.0,0.00 ± 0.00,0.0,0.00 ± 0.00,0.05031915831880222,9.59 ± 0.05
BR,Estático,2000,94.0904909090909,0.457640097650187,13.446421212121212,0.11277576135182962,1.7559772727272727,0.016245536554837025,0.9728801515151514,0.0026408101635815927,266680.51515151514,388.80185515987785,250921.0303030303,1278.4287593773156,15759.212121212122,1220.342107709344,0.0,0.0,0.0,0.0,9.331035377728854,0.09047107901370538,0.1561432343217512,94.09 ± 0.16,0.03847821076210153,13.45 ± 0.04,0.005542850449488919,1.76 ± 0.01,0.0009010238444765226,0.97 ± 0.00,132.6561625318182,266680.52 ± 132.66,436.18992820795773,250921.03 ± 436.19,416.37121540519354,15759.21 ± 416.37,0.0,0.00 ± 0.00,0.0,0.00 ± 0.00,0.030868026998317578,9.33 ± 0.03
BR,Estático,5000,86.0249,0.42701470407938164,13.44559696969697,0.08887722741529668,1.680718181818182,0.013030031766688424,0.9291268181818182,0.002697569501590124,666636.6363636364,690.7464177513482,573473.9090909091,3013.0123357243774,93162.33333333333,2831.7192399965556,0.0,0.0,0.0,0.0,8.530784012831118,0.08783494406600789,0.14569408873971926,86.02 ± 0.15,0.030324217255940807,13.45 ± 0.03,0.004445745278467866,1.68 ± 0.00,0.0009203896882042023,0.93 ± 0.00,235.67729383342183,666636.64 ± 235.68,1028.0163245462634,573473.91 ± 1028.02,966.1605333415712,93162.33 ± 966.16,0.0,0.00 ± 0.00,0.0,0.00 ± 0.00,0.02996859830106055,8.53 ± 0.03
